"item","fragment","logNaO","logMgO","logAlO","logSiO","logKO","logCaO","logFeO"
"s24","f4",-0.927,-5.611,-1.5939,-0.1395,-0.8328,-5.611,-5.611
"s25","f1",-0.6247,-1.3987,-1.5898,-0.0811,-1.6925,-1.0092,-5.6467
"s25","f1",-0.6265,-1.4211,-1.5933,-0.0815,-1.6687,-0.9913,-2.4423
"s25","f1",-0.6268,-1.3987,-1.5699,-0.0718,-1.7073,-0.9771,-5.6418
"s25","f2",-0.6268,-1.3987,-1.5699,-0.0718,-1.7073,-0.9771,-5.6418
"s25","f2",-0.6363,-1.4207,-1.6213,-0.1026,-1.7723,-1.0524,-2.4827
"s25","f2",-0.6267,-1.4073,-1.6227,-0.1087,-1.7358,-1.0613,-5.6601
"s25","f3",-0.7264,-1.5456,-1.7568,-0.2032,-2.0083,-1.3144,-5.7158
"s25","f3",-0.6567,-1.4459,-1.6334,-0.1577,-1.9083,-1.1786,-5.3854
"s25","f3",-0.6668,-1.4586,-1.6567,-0.1755,-1.9018,-1.1836,-5.6942
"s25","f4",-0.662,-1.4483,-1.662,-0.168,-1.8852,-1.1903,-5.6913
"s25","f4",-0.7071,-1.4884,-1.7067,-0.1677,-1.9198,-1.2208,-5.3969
"s25","f4",-0.6712,-1.4576,-1.7138,-0.1882,-1.9447,-1.2235,-5.7006
"s26","f1",-0.9158,-1.7768,-1.3545,-0.1132,-1.0046,-1.4817,-5.6401
"s26","f1",-0.9145,-1.8022,-1.3628,-0.1036,-0.9893,-1.4733,-5.3336
"s26","f1",-0.9168,-1.7659,-1.3806,-0.1347,-1.0344,-1.5063,-5.6524
"s26","f2",-0.9222,-1.7808,-1.4413,-0.2019,-1.1318,-1.6324,-5.6893
"s26","f2",-0.9129,-1.784,-1.4183,-0.2092,-1.1497,-1.6433,-5.3915
"s26","f2",-0.9083,-1.7688,-1.4207,-0.2009,-1.1389,-1.6272,-5.6879
"s26","f3",-0.9137,-1.7618,-1.4155,-0.1774,-1.1027,-1.5752,-5.6756
"s26","f3",-0.9152,-1.7718,-1.4077,-0.1739,-1.0997,-1.5957,-5.3738
"s26","f3",-0.915,-1.7781,-1.4053,-0.165,-1.0824,-1.5802,-5.6702
"s26","f4",-0.9089,-1.7619,-1.3707,-0.1397,-1.038,-1.54,-5.654
"s26","f4",-0.9137,-1.7743,-1.3571,-0.1279,-1.0271,-1.5387,-5.3483
"s26","f4",-0.9104,-1.7668,-1.3575,-0.1275,-1.0254,-1.5205,-5.6476
"s27","f1",-0.6723,-1.2977,-2.3355,-0.1552,-2.4738,-0.9243,-5.6779
"s27","f1",-0.6731,-1.2957,-2.3178,-0.1592,-2.4008,-0.9329,-5.3785
"s27","f1",-0.6675,-1.2896,-2.3152,-0.1554,-2.4465,-0.9242,-5.677
"s27","f2",-0.667,-1.2817,-2.3536,-0.1026,-2.3759,-0.8526,-5.6547
"s27","f2",-0.6666,-1.2795,-2.3755,-0.1032,-2.3532,-0.8481,-5.3532
"s27","f2",-0.6746,-1.2853,-2.3342,-0.1051,-2.3554,-0.8509,-5.6564
"s27","f3",-0.653,-1.2624,-2.4892,-0.0632,-2.3343,-0.7977,-5.6353
"s27","f3",-0.6514,-1.263,-2.43,-0.0619,-2.2917,-0.7977,-5.333
"s27","f3",-0.6533,-1.2664,-2.2358,-0.0624,-2.2913,-0.7956,-5.6338
"s27","f4",-0.653,-1.2624,-2.4892,-0.0632,-2.3343,-0.7977,-5.6353
"s27","f4",-0.6514,-1.263,-2.43,-0.0619,-2.2917,-0.7977,-5.333
"s27","f4",-0.6533,-1.2664,-2.2358,-0.0624,-2.2913,-0.7956,-5.6338
"s28","f1",-0.6929,-1.2216,-2.4973,-0.1406,-2.4181,-0.9237,-5.6734
"s28","f1",-0.6868,-1.2211,-2.5922,-0.1368,-2.4672,-0.9162,-5.3703
"s28","f1",-0.6859,-1.2291,-2.6317,-0.1407,-2.3721,-0.9257,-5.6731
"s28","f2",-0.6887,-1.2139,-2.3124,-0.1017,-2.3124,-0.8583,-5.6549
"s28","f2",-0.6903,-1.2219,-2.2415,-0.1044,-2.3555,-0.8613,-5.3555
"s28","f2",-0.6868,-1.22,-2.3138,-0.1044,-2.3552,-0.8589,-5.6562
"s28","f3",-0.6841,-1.2189,-2.4061,-0.1143,-2.3603,-0.8825,-5.6613
"s28","f3",-0.689,-1.2149,-2.2642,-0.1153,-2.458,-0.8847,-5.3611
"s28","f3",-0.6861,-1.2175,-2.3191,-0.1154,-2.3605,-0.8856,-5.6615
"s28","f4",-0.6841,-1.2189,-2.4061,-0.1143,-2.3603,-0.8825,-5.6613
"s28","f4",-0.689,-1.2149,-2.2642,-0.1153,-2.458,-0.8847,-5.3611
"s28","f4",-0.6861,-1.2175,-2.3191,-0.1154,-2.3605,-0.8856,-5.6615
"s29","f1",-0.6644,-1.1904,-2.5751,-0.1044,-2.4782,-0.8754,-5.6543
"s29","f1",-0.6679,-1.1809,-2.576,-0.1061,-2.3999,-0.8828,-5.3541
"s29","f1",-0.6643,-1.1819,-2.5755,-0.1042,-2.5085,-0.8794,-5.6547
"s29","f2",-0.6591,-1.179,-2.4698,-0.0892,-2.4155,-0.8535,-5.6459
"s29","f2",-0.6617,-1.1854,-2.4687,-0.0846,-2.3661,-0.8483,-5.3438
"s29","f2",-0.6613,-1.1696,-2.3679,-0.0904,-2.3914,-0.8508,-5.6467
"s29","f3",-0.6629,-1.1807,-2.5815,-0.1169,-2.4302,-0.9094,-5.6607
"s29","f3",-0.666,-1.1903,-2.7074,-0.1178,-2.5155,-0.9158,-5.3606
"s29","f3",-0.6624,-1.1837,-2.7563,-0.1145,-2.4289,-0.9027,-5.6593
"s29","f4",-0.6591,-1.179,-2.4698,-0.0892,-2.4155,-0.8535,-5.6459
"s29","f4",-0.6617,-1.1854,-2.4687,-0.0846,-2.3661,-0.8483,-5.3438
"s29","f4",-0.6613,-1.1696,-2.3679,-0.0904,-2.3914,-0.8508,-5.6467
"s30","f1",-0.6736,-1.2543,-2.4388,-0.147,-5.3682,-0.8297,-5.6692
"s30","f1",-0.6712,-1.2511,-2.4933,-0.147,-5.6694,-0.8337,-5.3684
"s30","f1",-0.6757,-1.2605,-2.4943,-0.1475,-5.6704,-0.831,-5.6704
"s30","f2",-0.6738,-1.2535,-2.4115,-0.1421,-5.3658,-0.8198,-5.6668
"s30","f2",-0.6777,-1.2658,-2.5228,-0.1449,-5.6689,-0.8226,-5.3679
"s30","f2",-0.6766,-1.2592,-2.465,-0.1443,-5.6691,-0.8259,-5.6691
"s30","f3",-0.6512,-1.2331,-2.7331,-0.076,-2.3809,-0.7617,-5.6362
"s30","f3",-0.6554,-1.2171,-2.7323,-0.0743,-2.4313,-0.7557,-5.3344
"s30","f3",-0.6517,-1.2199,-2.3796,-0.0738,-2.3339,-0.7581,-5.6349
"s30","f4",-0.6512,-1.2331,-2.7331,-0.076,-2.3809,-0.7617,-5.6362
"s30","f4",-0.6554,-1.2171,-2.7323,-0.0743,-2.4313,-0.7557,-5.3344
"s30","f4",-0.6517,-1.2199,-2.3796,-0.0738,-2.3339,-0.7581,-5.6349
"s31","f1",-0.6912,-1.3162,-2.3162,-0.1537,-5.3769,-0.8637,-5.678
"s31","f1",-0.6923,-1.3021,-2.3308,-0.1452,-5.6732,-0.8388,-5.3722
"s31","f1",-0.6843,-1.3019,-2.3581,-0.1601,-5.6803,-0.8817,-5.6803
"s31","f2",-0.6915,-1.3042,-2.4637,-0.1309,-5.3668,-0.8321,-5.6678
"s31","f2",-0.6841,-1.3039,-2.4314,-0.12,-5.6618,-0.8099,-5.3608
"s31","f2",-0.6902,-1.295,-2.32,-0.1216,-5.6624,-0.8099,-5.6624
"s31","f3",-0.6939,-1.3155,-2.3211,-0.165,-2.8378,-0.8828,-5.6829
"s31","f3",-0.6935,-1.3143,-2.3788,-0.1572,-5.6798,-0.8675,-5.3788
"s31","f3",-0.69,-1.2983,-2.3811,-0.1652,-5.6821,-0.8766,-5.6821
"s31","f4",-0.6919,-1.3108,-2.5149,-0.1823,-5.39,-0.9136,-5.691
"s31","f4",-0.6842,-1.3113,-2.4538,-0.1685,-5.6842,-0.8939,-5.3832
"s31","f4",-0.6892,-1.3226,-2.4613,-0.1845,-5.6918,-0.9209,-5.6918
"s32","f1",-0.6871,-1.2891,-2.2283,-0.0837,-2.321,-0.7517,-5.6433
"s32","f1",-0.6923,-1.3027,-2.2472,-0.087,-2.2834,-0.7514,-5.3441
"s32","f1",-0.6861,-1.293,-2.1902,-0.072,-2.3364,-0.7338,-5.6374
"s32","f2",-0.7,-1.2921,-2.1574,-0.0675,-2.3334,-0.7154,-5.6345
"s32","f2",-0.702,-1.3071,-2.2225,-0.0716,-2.2061,-0.7174,-5.3365
"s32","f2",-0.6955,-1.2818,-2.1426,-0.0655,-2.4579,-0.7123,-5.634
"s32","f3",-0.7509,-1.3288,-2.1935,-0.1497,-2.7306,-0.9118,-5.6848
"s32","f3",-0.7461,-1.3172,-2.2075,-0.1509,-2.6846,-0.9115,-5.3835
"s32","f3",-0.7431,-1.3247,-2.2202,-0.1465,-2.6412,-0.9052,-5.6826
"s32","f4",-0.6872,-1.2993,-2.2897,-0.1,-2.5723,-0.7724,-5.6515
"s32","f4",-0.6937,-1.3074,-2.1466,-0.0986,-2.6975,-0.775,-5.3507
"s32","f4",-0.6911,-1.3027,-2.295,-0.1089,-2.5776,-0.7905,-5.6568
"s33","f1",-0.7286,-1.3566,-2.073,-0.1062,-2.5501,-0.8545,-5.6641
"s33","f1",-0.7147,-1.3393,-2.1195,-0.1086,-2.6636,-0.8554,-5.3626
"s33","f1",-0.7206,-1.3414,-2.0404,-0.1103,-2.5844,-0.8447,-5.6636
"s33","f2",-0.7207,-1.3647,-2.1622,-0.1448,-2.5046,-0.9098,-5.6807
"s33","f2",-0.7195,-1.3496,-2.0889,-0.1437,-2.5039,-0.9113,-5.3789
"s33","f2",-0.7151,-1.3437,-2.0694,-0.1494,-2.5682,-0.9278,-5.6821
"s33","f3",-0.722,-1.3636,-2.0669,-0.1181,-2.4929,-0.8703,-5.6689
"s33","f3",-0.7258,-1.357,-2.0005,-0.0875,-2.3749,-0.8148,-5.3527
"s33","f3",-0.7316,-1.3619,-1.9847,-0.075,-2.3687,-0.7865,-5.6475
"s33","f4",-0.7242,-1.3696,-2.1644,-0.1795,-2.6545,-0.9643,-5.6959
"s33","f4",-0.72,-1.3637,-2.0606,-0.1774,-2.6149,-0.9561,-5.393
"s33","f4",-0.7288,-1.3703,-2.1546,-0.1854,-2.6195,-0.9695,-5.6987
"s34","f1",-0.6926,-1.3114,-2.2353,-0.1633,-2.6411,-0.8915,-5.6825
"s34","f1",-0.6982,-1.3148,-2.14,-0.1664,-2.6049,-0.8973,-5.383
"s34","f1",-0.6952,-1.3118,-2.2357,-0.1667,-2.5068,-0.8815,-5.6829
"s34","f2",-0.7014,-1.3073,-1.7091,-0.1215,-2.4872,-0.817,-5.6633
"s34","f2",-0.7045,-1.3156,-2.0937,-0.0965,-2.3947,-0.7546,-5.349
"s34","f2",-0.7019,-1.3021,-2.1197,-0.1248,-2.6638,-0.8035,-5.6638
"s34","f3",-0.6976,-1.3093,-2.13,-0.1181,-2.4573,-0.8102,-5.6614
"s34","f3",-0.7021,-1.3065,-2.1593,-0.1241,-2.4603,-0.8169,-5.3634
"s34","f3",-0.7043,-1.3175,-2.1217,-0.1256,-2.5196,-0.8194,-5.6658
"s34","f4",-0.6995,-1.3016,-2.1544,-0.1173,-2.3808,-0.7891,-5.6595
"s34","f4",-0.7064,-1.3144,-2.167,-0.1689,-5.6855,-0.8854,-5.3844
"s34","f4",-0.7001,-1.3163,-2.167,-0.1698,-2.7313,-0.8946,-5.6856
"s35","f1",-0.7765,-1.3497,-1.9812,-0.1385,-5.3791,-0.8633,-5.6802
"s35","f1",-0.7688,-1.3395,-2.0172,-0.1389,-5.68,-0.8677,-5.3789
"s35","f1",-0.7742,-1.3573,-2.0095,-0.1418,-5.6816,-0.8647,-5.6816
"s35","f2",-0.759,-1.354,-2.057,-0.1643,-5.3894,-0.9044,-5.6905
"s35","f2",-0.7575,-1.3417,-2.0772,-0.1638,-5.69,-0.9019,-5.389
"s35","f2",-0.7493,-1.34,-2.1105,-0.1645,-5.6903,-0.9121,-5.6903
"s35","f3",-0.6909,-1.3062,-2.1054,-0.1462,-5.3725,-0.8456,-5.6736
"s35","f3",-0.6912,-1.3198,-2.0942,-0.1463,-5.6739,-0.8434,-5.3729
"s35","f3",-0.6896,-1.3181,-2.1556,-0.1464,-5.6741,-0.8448,-5.6741
"s35","f4",-0.6924,-1.3335,-2.1534,-0.1418,-5.3709,-0.8312,-5.6719
"s35","f4",-0.698,-1.3395,-2.1339,-0.1521,-5.678,-0.8545,-5.3769
"s35","f4",-0.7048,-1.3349,-2.1742,-0.1573,-5.6793,-0.8462,-5.6793
"s36","f1",-0.7038,-1.3388,-2.1741,-0.1559,-5.3782,-0.8532,-5.6792
"s36","f1",-0.6941,-1.3347,-2.2167,-0.1535,-5.6791,-0.853,-5.378
"s36","f1",-0.6952,-1.3366,-2.1719,-0.1532,-5.6771,-0.8478,-5.6771
"s36","f2",-0.688,-1.2973,-2.0658,-0.0899,-5.3446,-0.7442,-5.6456
"s36","f2",-0.694,-1.3145,-2.1114,-0.0836,-5.6429,-0.7243,-5.3418
"s36","f2",-0.689,-1.3162,-2.0314,-0.1059,-5.6547,-0.7796,-5.6547
"s36","f3",-0.6905,-1.3489,-2.0759,-0.2039,-5.6991,-0.9395,-5.6991
"s36","f3",-0.7059,-1.3267,-2.0692,-0.1006,-5.3479,-0.7084,-5.3479
"s36","f3",-0.6911,-1.347,-2.1212,-0.1838,-5.6894,-0.8798,-5.6894
"s36","f4",-0.6767,-1.3062,-2.1569,-0.151,-5.6754,-0.8638,-5.6754
"s36","f4",-0.6824,-1.3365,-2.1107,-0.1585,-5.3779,-0.8666,-5.3779
"s36","f4",-0.6819,-1.3164,-2.0852,-0.1526,-5.6762,-0.864,-5.6762
"s37","f1",-0.7059,-1.2903,-1.885,-0.1014,-2.1373,-0.851,-2.3771
"s37","f1",-0.6945,-1.2821,-1.8934,-0.1042,-2.2419,-0.852,-5.6569
"s37","f1",-0.6983,-1.287,-1.9182,-0.0893,-2.2356,-0.8324,-5.6506
"s37","f2",-0.7013,-1.3225,-1.9023,-0.1541,-2.2655,-0.9361,-2.639
"s37","f2",-0.7036,-1.2951,-1.9008,-0.1353,-2.2737,-0.9008,-5.6716
"s37","f2",-0.7055,-1.3155,-1.9138,-0.1456,-2.355,-0.9244,-2.5981
"s37","f3",-0.7028,-1.2975,-1.8843,-0.0822,-2.1426,-0.8282,-5.6478
"s37","f3",-0.6918,-1.2924,-1.8231,-0.0773,-2.1655,-0.807,-5.6427
"s37","f3",-0.7025,-1.2939,-1.8486,-0.0859,-2.1708,-0.8219,-2.4175
"s37","f4",-0.7,-1.2897,-1.9324,-0.07,-2.0959,-0.7851,-5.64
"s37","f4",-0.6835,-1.2888,-1.9139,-0.1006,-2.2925,-0.8501,-5.3532
"s37","f4",-0.699,-1.3191,-1.9404,-0.1534,-2.2494,-0.9404,-5.6808
"s38","f1",-0.6971,-1.3292,-2.3842,-0.1717,-5.3842,-0.8852,-2.2702
"s38","f1",-0.7042,-1.3308,-2.5127,-0.1789,-2.7345,-0.8894,-2.3877
"s38","f1",-0.7005,-1.3237,-2.3237,-0.1721,-2.5715,-0.8854,-2.4067
"s38","f2",-0.6988,-1.3252,-2.3474,-0.1372,-2.6282,-0.8239,-2.3686
"s38","f2",-0.7023,-1.3264,-2.3091,-0.1397,-2.6294,-0.8282,-2.3486
"s38","f2",-0.711,-1.3411,-2.4067,-0.1713,-2.6063,-0.8699,-2.2875
"s38","f3",-0.7079,-1.3382,-2.4638,-0.1905,-2.6943,-0.9125,-2.3518
"s38","f3",-0.6989,-1.3274,-2.2931,-0.1852,-5.691,-0.9064,-2.3486
"s38","f3",-0.7111,-1.3342,-2.2556,-0.1386,-2.4945,-0.8224,-2.2393
"s38","f4",-0.7104,-1.322,-2.2032,-0.099,-2.6962,-0.7441,-2.2525
"s38","f4",-0.7045,-1.3298,-2.3814,-0.1138,-2.5463,-0.7805,-2.2452
"s38","f4",-0.7099,-1.326,-2.2762,-0.1082,-2.6564,-0.7716,-2.2762
"s39","f1",-0.6734,-1.3206,-2.1145,-0.1401,-2.7677,-0.9022,-1.9149
"s39","f1",-0.6732,-1.353,-2.1628,-0.1649,-2.6813,-0.9255,-1.9105
"s39","f1",-0.6684,-1.3194,-2.1512,-0.1378,-2.7666,-0.9033,-5.6697
"s39","f2",-0.6747,-1.3313,-2.2283,-0.1178,-2.5804,-0.8514,-1.7904
"s39","f2",-0.6742,-1.3342,-2.2133,-0.1192,-2.7574,-0.8516,-1.8752
"s39","f2",-0.6749,-1.3197,-2.1667,-0.1134,-2.6167,-0.8512,-1.8452
"s39","f3",-0.6715,-1.3027,-2.168,-0.0898,-2.441,-0.8,-1.8191
"s39","f3",-0.6699,-1.3319,-2.1586,-0.0981,-2.3946,-0.8238,-1.8048
"s39","f3",-0.6741,-1.3255,-2.0679,-0.0939,-2.5685,-0.8101,-1.7726
"s39","f4",-0.6807,-1.3533,-2.1444,-0.1234,-2.549,-0.8595,-1.8369
"s39","f4",-0.6722,-1.3355,-2.0841,-0.1261,-2.6639,-0.8687,-1.8857
"s39","f4",-0.6772,-1.3435,-2.2034,-0.1276,-2.6244,-0.8748,-1.8949
"s40","f1",-0.6945,-1.3142,-2.0596,-0.0897,-5.3497,-0.7988,-5.6507
"s40","f1",-0.6999,-1.326,-2.1062,-0.0878,-5.6503,-0.7924,-5.3493
"s40","f1",-0.7041,-1.3227,-2.0829,-0.0886,-5.6511,-0.8004,-5.6511
"s40","f2",-0.7013,-1.3381,-2.0987,-0.1478,-5.3775,-0.8925,-5.6785
"s40","f2",-0.6991,-1.3249,-2.1246,-0.1532,-5.6809,-0.9071,-5.3798
"s40","f2",-0.6893,-1.3258,-2.0963,-0.1451,-5.6761,-0.8957,-5.6761
"s40","f3",-0.6961,-1.3439,-2.105,-0.1892,-5.3951,-0.9629,-5.6961
"s40","f3",-0.6988,-1.3371,-2.149,-0.1815,-5.6931,-0.9535,-5.3921
"s40","f3",-0.7027,-1.3527,-2.1289,-0.1897,-5.6971,-0.9623,-5.6971
"s40","f4",-0.6924,-1.3275,-2.1474,-0.1214,-2.7117,-0.8571,-5.666
"s40","f4",-0.6979,-1.3275,-2.0591,-0.134,-2.8268,-0.8767,-5.3709
"s40","f4",-0.6935,-1.3225,-2.147,-0.1481,-5.6785,-0.9062,-5.6785
"s41","f1",-0.699,-1.2903,-2.2379,-0.2044,-5.7003,-0.9655,-5.7003
"s41","f1",-0.6917,-1.2806,-2.2332,-0.1952,-2.6542,-0.956,-5.3945
"s41","f1",-0.6879,-1.2896,-2.1612,-0.1892,-2.7384,-0.9422,-5.6927
"s41","f2",-0.7036,-1.2741,-2.0937,-0.1887,-5.6957,-0.9586,-5.6957
"s41","f2",-0.6977,-1.2647,-2.0679,-0.1782,-5.6912,-0.9572,-5.3901
"s41","f2",-0.6967,-1.2686,-2.0584,-0.1809,-5.3908,-0.9555,-5.6919
"s41","f3",-0.7024,-1.2938,-2.2922,-0.2201,-5.4061,-0.9928,-5.7071
"s41","f3",-0.6898,-1.2558,-2.24,-0.1756,-5.6872,-0.9245,-5.3861
"s41","f3",-0.7084,-1.2524,-1.763,-0.1188,-5.6607,-0.8231,-5.6607
"s41","f4",-0.6977,-1.2647,-2.0679,-0.1782,-5.3901,-0.9572,-5.6912
"s41","f4",-0.6967,-1.2686,-2.0584,-0.1809,-5.6919,-0.9555,-5.3908
"s41","f4",-0.6967,-1.2715,-2.0012,-0.1812,-5.6914,-0.9542,-5.6914
"s42","f1",-0.7191,-1.3202,-2.1024,-0.0874,-2.5673,-0.7429,-2.2663
"s42","f1",-0.7225,-1.309,-2.0951,-0.098,-2.4753,-0.7598,-2.1743
"s42","f1",-0.7281,-1.3037,-2.102,-0.0869,-2.3451,-0.7452,-2.1276
"s42","f2",-0.7349,-1.342,-2.0512,-0.1422,-2.4191,-0.8413,-2.1973
"s42","f2",-0.7259,-1.3264,-2.0334,-0.1283,-2.3447,-0.8218,-2.1617
"s42","f2",-0.7291,-1.3322,-2.0875,-0.1513,-2.4744,-0.8669,-2.2014
"s42","f3",-0.7177,-1.3316,-2.1944,-0.1703,-2.4553,-0.8809,-2.4305
"s42","f3",-0.6093,-1.2278,-1.9811,-0.0442,-2.3961,-0.7513,-2.0951
"s42","f3",-0.7067,-1.33,-2.1362,-0.1591,-2.5042,-0.8741,-2.358
"s42","f4",-0.7189,-1.3372,-2.1292,-0.1691,-2.5715,-0.8848,-2.2383
"s42","f4",-0.7175,-1.3411,-2.1173,-0.1695,-2.455,-0.8834,-2.3237
"s42","f4",-0.714,-1.3236,-2.1538,-0.171,-2.5714,-0.8818,-2.3051
"s43","f1",-0.6985,-1.2756,-2.1244,-0.0745,-2.2116,-0.7954,-5.643
"s43","f1",-0.7036,-1.2867,-2.1006,-0.0762,-2.2467,-0.8045,-5.6446
"s43","f1",-0.6964,-1.285,-2.1008,-0.0789,-2.2299,-0.8016,-5.6448
"s43","f2",-0.6935,-1.2893,-2.2313,-0.1505,-2.3774,-0.9241,-5.6784
"s43","f2",-0.7007,-1.3055,-2.1715,-0.1446,-2.3978,-0.9102,-5.3756
"s43","f2",-0.7069,-1.2952,-2.1191,-0.1399,-2.3137,-0.909,-5.6754
"s43","f3",-0.6949,-1.2805,-2.0495,-0.0929,-2.2714,-0.8333,-2.4755
"s43","f3",-0.6922,-1.2923,-2.1207,-0.0925,-2.3097,-0.8326,-5.6521
"s43","f3",-0.6945,-1.289,-2.0596,-0.0894,-2.3285,-0.8259,-5.6507
"s43","f4",-0.6956,-1.2844,-2.0955,-0.0915,-2.2204,-0.8375,-5.6518
"s43","f4",-0.703,-1.3088,-2.1161,-0.1363,-2.3713,-0.8942,-2.4963
"s43","f4",-0.7004,-1.2872,-2.0399,-0.0962,-2.3103,-0.8196,-5.6527
"s44","f1",-0.6836,-1.2764,-2.0177,-0.0635,-2.4544,-0.7109,-2.1681
"s44","f1",-0.6882,-1.2917,-1.9964,-0.1001,-2.4192,-0.7769,-2.2694
"s44","f1",-0.6905,-1.2953,-2.0413,-0.1308,-2.4341,-0.8226,-2.3635
"s44","f2",-0.6881,-1.3018,-2.0909,-0.1674,-2.5059,-0.8981,-2.4032
"s44","f2",-0.6867,-1.304,-2.0555,-0.1629,-2.4747,-0.8801,-2.3778
"s44","f2",-0.6934,-1.3179,-2.0188,-0.1656,-2.5054,-0.8849,-2.3805
"s44","f3",-0.6885,-1.3005,-2.1269,-0.1178,-2.4031,-0.7951,-2.4031
"s44","f3",-0.7076,-1.301,-2.0293,-0.1241,-2.4075,-0.8115,-2.301
"s44","f3",-0.7,-1.2978,-2.0161,-0.12,-2.2793,-0.8046,-2.2793
"s44","f4",-0.685,-1.3104,-2.083,-0.1513,-2.5279,-0.8631,-2.3123
"s44","f4",-0.6737,-1.3042,-2.0974,-0.1602,-2.4219,-0.8834,-2.4219
"s44","f4",-0.6775,-1.3125,-2.0982,-0.1602,-2.4739,-0.8828,-2.564
"s45","f1",-0.7613,-1.3369,-2.1557,-0.1592,-2.4567,-0.8934,-2.4831
"s45","f1",-0.756,-1.3199,-2.0726,-0.1545,-2.5714,-0.8958,-5.6854
"s45","f1",-0.7509,-1.3376,-2.1177,-0.1562,-2.4818,-0.9006,-5.6859
"s45","f2",-0.7133,-1.3248,-2.0445,-0.1111,-2.3148,-0.7833,-2.2955
"s45","f2",-0.7121,-1.3161,-2.144,-0.1223,-2.4584,-0.7997,-2.2153
"s45","f2",-0.7101,-1.3231,-2.0778,-0.1124,-2.3565,-0.779,-2.3565
"s45","f3",-0.713,-1.3235,-2.0923,-0.1672,-2.5072,-0.8778,-2.2683
"s45","f3",-0.7147,-1.3267,-2.0806,-0.165,-2.5066,-0.8731,-2.4039
"s45","f3",-0.7129,-1.3169,-2.0554,-0.1568,-2.5025,-0.8584,-2.3362
"s45","f4",-0.7053,-1.3309,-2.1129,-0.1626,-2.4024,-0.8743,-2.477
"s45","f4",-0.7084,-1.3235,-2.1667,-0.1721,-2.4811,-0.8811,-2.3428
"s45","f4",-0.7101,-1.3415,-2.1615,-0.1584,-2.5338,-0.8644,-2.3789
"s46","f1",-0.724,-1.331,-2.0936,-0.1413,-2.4181,-0.8415,-2.3724
"s46","f1",-0.7245,-1.3246,-2.0157,-0.1328,-2.5898,-0.8276,-2.1375
"s46","f1",-0.744,-1.344,-2.1042,-0.1445,-2.3936,-0.7775,-2.5584
"s46","f2",-0.7219,-1.3385,-2.1388,-0.164,-2.4041,-0.8706,-2.2679
"s46","f2",-0.718,-1.3326,-2.1011,-0.1601,-2.5348,-0.8633,-2.2495
"s46","f2",-0.7122,-1.3162,-2.0546,-0.1556,-2.5639,-0.8577,-2.2977
"s46","f3",-0.7326,-1.349,-2.123,-0.1299,-2.4366,-0.792,-2.3449
"s46","f3",-0.7161,-1.324,-2.1751,-0.1321,-2.4903,-0.796,-2.204
"s46","f3",-0.7145,-1.3025,-2.0457,-0.1147,-2.3575,-0.7857,-2.2968
"s46","f4",-0.7172,-1.3283,-2.0895,-0.1608,-2.4501,-0.8616,-2.2826
"s46","f4",-0.7199,-1.3261,-2.0365,-0.181,-2.6898,-0.8932,-2.411
"s46","f4",-0.7154,-1.3297,-2.1294,-0.1708,-2.4816,-0.883,-2.407
"s47","f1",-0.7005,-1.3378,-2.0702,-0.131,-2.2921,-0.8992,-5.6723
"s47","f1",-0.6977,-1.3525,-2.1955,-0.1316,-2.2103,-0.8974,-5.3716
"s47","f1",-0.6953,-1.3344,-2.1503,-0.1249,-2.3264,-0.8807,-5.6689
"s47","f2",-0.7149,-1.3625,-2.0693,-0.225,-2.351,-1.0472,-5.7127
"s47","f2",-0.7102,-1.3674,-2.1148,-0.2074,-2.3836,-1.021,-5.4048
"s47","f2",-0.7104,-1.3652,-2.0928,-0.2077,-2.3834,-1.0128,-5.7056
"s47","f3",-0.7026,-1.3347,-2.1586,-0.1401,-2.2969,-0.916,-5.6772
"s47","f3",-0.697,-1.3326,-2.1148,-0.1294,-2.4158,-0.8922,-5.3701
"s47","f3",-0.7009,-1.3548,-2.0839,-0.1366,-2.3325,-0.9108,-5.675
"s47","f4",-0.7479,-1.3545,-2.2038,-0.134,-2.2659,-0.9445,-5.6809
"s47","f4",-0.7543,-1.3636,-2.1765,-0.1345,-2.2838,-0.9398,-5.3807
"s47","f4",-0.7487,-1.3467,-2.1606,-0.1326,-2.2989,-0.9294,-5.6792
"s48","f1",-0.6818,-1.3202,-1.9658,-0.2425,-2.5175,-1.2683,-5.7216
"s48","f1",-0.6773,-1.3157,-1.9177,-0.2326,-2.4618,-1.2547,-5.4161
"s48","f1",-0.6745,-1.3087,-1.9552,-0.2379,-2.5145,-1.2623,-5.7187
"s48","f2",-0.7136,-1.3816,-2.0629,-0.1156,-2.5857,-0.852,-2.0739
"s48","f2",-0.7011,-1.3697,-2.1349,-0.121,-2.4622,-0.8711,-1.9942
"s48","f2",-0.7181,-1.3627,-2.0289,-0.1333,-2.3936,-0.8821,-2.0491
"s48","f3",-0.6993,-1.3643,-2.0721,-0.1172,-2.4327,-0.8549,-1.9556
"s48","f3",-0.7142,-1.3824,-2.0245,-0.1256,-2.3892,-0.8658,-1.9276
"s48","f3",-0.7091,-1.384,-2.0675,-0.127,-2.6696,-0.8668,-2.1014
"s48","f4",-0.6637,-1.2626,-1.8982,-0.0672,-2.1279,-0.9715,-5.6464
"s48","f4",-0.6766,-1.2637,-1.8903,-0.0503,-2.0944,-0.9352,-5.3375
